maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
left,160030,3,False,False,True,10.0,0.0,48.365608412761965,11,6.885610516569564,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,30
left,160031,3,False,False,True,10.0,0.0,46.928398299484506,10,6.527144698317332,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,31
left,160032,3,False,False,True,10.0,0.0,50.14920934964162,8,6.579609703053427,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,32
left,160033,3,False,False,True,10.0,0.0,52.25459877840701,8,9.877093428088742,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,33
left,160034,3,False,False,True,10.0,0.0,51.372556204343205,9,20.461917542795824,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,34
left,160035,3,False,False,True,10.0,0.0,43.26640076672924,5,11.326140262021022,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,35
left,160036,3,False,False,True,10.0,0.0,46.83433924395333,7,2.564869852453989,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,36
left,160037,3,False,False,True,10.0,0.0,44.35473517469277,7,4.571955466510212,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,37
left,160038,3,False,False,True,10.0,0.0,47.50687930451518,8,3.6733110451181994,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,38
left,160039,3,False,False,True,10.0,0.0,44.25520821147673,4,5.807139598005992,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,39
left,160040,3,False,False,True,10.0,0.0,48.354551893263725,7,4.698862418078411,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,40
left,160041,3,False,False,True,10.0,0.0,48.58430663040106,8,4.00835043934182,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,41
left,160042,3,False,False,True,10.0,0.0,42.81102448676571,6,10.437487461399082,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,42
left,160043,3,False,False,True,10.0,0.0,45.63626680468694,7,8.111530916129588,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,43
left,160044,3,False,False,True,10.0,0.0,37.54915216489912,10,5.42069284889432,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,44
left,160045,3,False,False,True,10.0,0.0,51.491309202600995,6,13.190673548947657,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,45
left,160046,3,False,False,True,10.0,0.0,41.370688828862804,10,8.926851369591944,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,46
left,160047,3,False,False,True,10.0,0.0,46.75225956428115,8,9.711179313964461,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,47
left,160048,3,False,False,True,10.0,0.0,43.152586186219594,12,3.5700401573607428,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,48
left,160049,3,False,False,True,10.0,0.0,48.332211351225375,5,13.228754809803107,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,49
left,160050,3,False,False,True,10.0,0.0,46.438087379028694,6,6.957003823614375,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,50
left,160051,3,False,False,True,10.0,0.0,44.57381440096099,5,8.11426486527812,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,51
left,160052,3,False,False,True,10.0,0.0,37.88499324186788,7,9.04513694021899,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,52
left,160053,3,False,False,True,10.0,0.0,49.77611188599113,8,7.980437647744237,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,53
left,160054,3,False,False,True,10.0,0.0,40.154032995126435,8,4.818421142004673,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,54
left,160055,3,False,False,True,10.0,0.0,44.131309021256385,7,4.080428353590618,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,55
left,160056,3,False,False,True,10.0,0.0,45.75237481643021,5,3.6066563255646185,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,56
left,160057,3,False,False,True,10.0,0.0,48.591420290403605,9,5.894329476502511,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,57
left,160058,3,False,False,True,10.0,0.0,38.0885402850811,9,4.7438514285239455,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,58
left,160059,3,False,False,True,10.0,0.0,52.81060206107315,8,4.3870495863810435,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,59
left,160060,3,False,False,True,10.0,0.0,50.3991043489103,9,7.3741157097271515,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,60
left,160061,3,False,False,True,10.0,0.0,43.1824819303047,8,3.1907995200310526,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,61
left,160062,3,False,False,True,10.0,0.0,35.34100600702733,4,7.1310448758894305,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,62
left,160063,3,False,False,True,10.0,0.0,34.5983294660194,8,3.262333988169577,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,63
left,160064,3,False,False,True,10.0,0.0,52.151498040019426,10,6.738637636978314,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,64
left,160065,3,False,False,True,10.0,0.0,42.67945902122829,9,4.564472697470324,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,65
